word,meaning,level,part_of_speech,example
(n.) market,(名) 市場,A1,noun,We buy vegetables at the market.
(n.) meal,(名) 食事,A1,noun,Breakfast is the first meal of the day.
(n.) minute,(名) 分,A1,noun,The class is fifty minutes long.
(n.) money,(名) お金,A1,noun,I saved money to buy a book.
(n.) month,(名) 月,A1,noun,January is the first month of the year.
(n.) mother,(名) 母,A1,noun,My mother cooks dinner every night.
(n.) mountain,(名) 山,A1,noun,We climbed the mountain on Saturday.
(n.) mouth,(名) 口,A1,noun,He opened his mouth to speak.
(n.) movie,(名) 映画,A1,noun,We watched a movie on Sunday.
(n.) music,(名) 音楽,A1,noun,She listens to music every morning.
(n.) night,(名) 夜,A1,noun,The stars shine at night.
(n.) nose,(名) 鼻,A1,noun,He has a small nose.
(n.) number,(名) 数,A1,noun,What is your phone number?
(n.) park,(名) 公園,A1,noun,Children play in the park.
(n.) pen,(名) ペン,A1,noun,Can I borrow your pen?
(n.) phone,(名) 電話,A1,noun,She answered the phone quickly.
(n.) picture,(名) 絵・写真,A1,noun,He drew a picture of a cat.
(n.) place,(名) 場所,A1,noun,This is a quiet place to study.
(n.) rabbit,(名) うさぎ,A1,noun,The rabbit jumped over the fence.
(n.) rain,(名) 雨,A1,noun,The rain started in the afternoon.
(n.) river,(名) 川,A1,noun,We swam in the river.
(n.) road,(名) 道路,A1,noun,The road is very wide.
(n.) room,(名) 部屋,A1,noun,My room is clean and tidy.
(n.) sea,(名) 海,A1,noun,We swam in the sea last summer.
(n.) shop,(名) 店,A1,noun,She bought shoes at the shop.
(n.) sky,(名) 空,A1,noun,The sky is blue today.
(n.) snow,(名) 雪,A1,noun,Children love to play in the snow.
(n.) song,(名) 歌,A1,noun,She sang a beautiful song.
(n.) sport,(名) スポーツ,A1,noun,My favorite sport is soccer.
(n.) star,(名) 星,A1,noun,I can see many stars at night.
(n.) store,(名) 店,A1,noun,I bought milk at the store.
(n.) story,(名) 話,A1,noun,She told us a funny story.
(n.) street,(名) 通り,A1,noun,There are many shops on this street.
(n.) student,(名) 生徒,A1,noun,Every student has a textbook.
(n.) sun,(名) 太陽,A1,noun,The sun rises in the east.
(n.) table,(名) テーブル,A1,noun,We eat dinner at the table.
(n.) teacher,(名) 先生,A1,noun,Our teacher is very kind.
(n.) team,(名) チーム,A1,noun,He plays on the soccer team.
(n.) time,(名) 時間,A1,noun,What time is it now?
(n.) town,(名) 町,A1,noun,I live in a small town.
(n.) tree,(名) 木,A1,noun,A big tree stands in the garden.
(n.) vegetable,(名) 野菜,A1,noun,Eat your vegetables every day.
(n.) week,(名) 週,A1,noun,There are seven days in a week.
(n.) window,(名) 窓,A1,noun,Please open the window.
(n.) word,(名) 単語,A1,noun,She learned ten new words today.
(n.) world,(名) 世界,A1,noun,He wants to travel the world.
(v.) arrive,(動) 到着する,A1,verb,The train will arrive at nine.
(v.) ask,(動) 尋ねる,A1,verb,She asked a good question.
(v.) bring,(動) 持ってくる,A1,verb,Please bring your notebook to class.
(v.) buy,(動) 買う,A1,verb,I will buy a new pen tomorrow.
(v.) call,(動) 電話する・呼ぶ,A1,verb,She called her mother after school.
(v.) clean,(動) 掃除する,A1,verb,He cleans his room on Sundays.
(v.) close,(動) 閉める,A1,verb,Please close the door.
(v.) come,(動) 来る,A1,verb,Come here please.
(v.) cook,(動) 料理する,A1,verb,She cooks dinner every night.
(v.) cry,(動) 泣く,A1,verb,The baby cried all night.
(v.) dance,(動) 踊る,A1,verb,They danced at the school festival.
(v.) draw,(動) 描く,A1,verb,She drew a picture of the sea.
(v.) drink,(動) 飲む,A1,verb,He drinks water after exercise.
(v.) drive,(動) 運転する,A1,verb,My father drives to work.
(v.) find,(動) 見つける,A1,verb,She found her lost key under the desk.
(v.) get,(動) 得る・手に入れる,A1,verb,He got a high score on the test.
(v.) give,(動) 与える,A1,verb,She gave me a birthday present.
(v.) have,(動) 持っている,A1,verb,I have two sisters.
(v.) hear,(動) 聞こえる,A1,verb,I can hear birds singing outside.
(v.) jump,(動) 跳ぶ,A1,verb,The dog jumped over the fence.
(v.) know,(動) 知っている,A1,verb,Do you know the answer?
(v.) listen,(動) 聞く,A1,verb,Please listen carefully.
(v.) live,(動) 住む,A1,verb,She lives near the school.
(v.) look,(動) 見る,A1,verb,Look at that beautiful bird.
(v.) love,(動) 愛する,A1,verb,I love my family.
(v.) make,(動) 作る,A1,verb,He made a paper airplane.
(v.) meet,(動) 会う,A1,verb,I met my old friend at the station.
(v.) need,(動) 必要とする,A1,verb,I need more time.
(v.) put,(動) 置く,A1,verb,Put your bag on the chair.
(v.) read,(動) 読む,A1,verb,She reads a book every night.
(v.) ride,(動) 乗る,A1,verb,He rides his bike to school.
(v.) say,(動) 言う,A1,verb,She said hello to everyone.
(v.) see,(動) 見える,A1,verb,I can see the mountains from here.
(v.) show,(動) 見せる,A1,verb,Show me your homework.
(v.) sing,(動) 歌う,A1,verb,She sings beautifully.
(v.) sit,(動) 座る,A1,verb,Please sit down.
(v.) sleep,(動) 眠る,A1,verb,He slept for eight hours.
(v.) smile,(動) 微笑む,A1,verb,She smiled at the camera.
(v.) speak,(動) 話す,A1,verb,Can you speak English?
(v.) stand,(動) 立つ,A1,verb,He stood up to answer.
(v.) start,(動) 始める,A1,verb,The movie starts at seven.
(v.) stop,(動) 止まる,A1,verb,Please stop talking.
(v.) swim,(動) 泳ぐ,A1,verb,She swims every morning.
(v.) take,(動) 取る・持っていく,A1,verb,Take this book home.
(v.) teach,(動) 教える,A1,verb,She teaches English at school.
(v.) think,(動) 考える,A1,verb,Think before you answer.
(v.) use,(動) 使う,A1,verb,We use computers in class.
(v.) wait,(動) 待つ,A1,verb,Please wait a moment.
(v.) walk,(動) 歩く,A1,verb,We walk to school together.
(v.) want,(動) ほしい,A1,verb,I want a new bicycle.
(v.) watch,(動) 見る,A1,verb,We watched TV after dinner.
(v.) work,(動) 働く,A1,verb,My father works hard every day.
(v.) write,(動) 書く,A1,verb,Please write your name here.
(adj.) big,(形) 大きい,A1,adj,That is a big dog.
(adj.) blue,(形) 青い,A1,adj,The sky is blue today.
(adj.) busy,(形) 忙しい,A1,adj,She is very busy today.
(adj.) clean,(形) きれいな,A1,adj,The room is clean and bright.
(adj.) cold,(形) 寒い・冷たい,A1,adj,It is cold today.
(adj.) dark,(形) 暗い,A1,adj,The room is dark at night.
(adj.) easy,(形) 簡単な,A1,adj,This question is easy.
(adj.) fast,(形) 速い,A1,adj,She is a fast runner.
(adj.) free,(形) 自由な・無料の,A1,adj,Are you free this weekend?
(adj.) good,(形) よい,A1,adj,He is a good student.
(adj.) great,(形) すばらしい,A1,adj,You did a great job.
(adj.) hard,(形) 難しい・一生懸命な,A1,adj,This test is hard.
(adj.) hot,(形) 暑い・熱い,A1,adj,Summer is hot in Japan.
(adj.) hungry,(形) 空腹の,A1,adj,I am hungry after school.
(adj.) kind,(形) 親切な,A1,adj,She is kind to everyone.
(adj.) long,(形) 長い,A1,adj,This road is very long.
(adj.) new,(形) 新しい,A1,adj,I have a new pencil case.
(adj.) nice,(形) よい・すてきな,A1,adj,That is a nice shirt.
(adj.) old,(形) 古い・年老いた,A1,adj,This is a very old building.
(adj.) short,(形) 短い・背の低い,A1,adj,The movie is short.
(adj.) slow,(形) 遅い,A1,adj,The bus is slow today.
(adj.) strong,(形) 強い,A1,adj,He is a strong player.
(adj.) tall,(形) 背が高い,A1,adj,She is tall for her age.
(adj.) tired,(形) 疲れた,A1,adj,I am very tired today.
(adj.) young,(形) 若い,A1,adj,She has a young face.
(adv.) again,(副) 再び,A1,adv,Please say that again.
(adv.) also,(副) また・〜も,A1,adv,I also like music.
(adv.) always,(副) いつも,A1,adv,She always smiles.
(adv.) early,(副) 早く,A1,adv,He wakes up early every morning.
(adv.) here,(副) ここに,A1,adv,Please come here.
(adv.) just,(副) ちょうど・ただ,A1,adv,I just finished my homework.
(adv.) maybe,(副) たぶん,A1,adv,Maybe it will rain today.
(adv.) never,(副) 決して〜ない,A1,adv,She never eats fast food.
(adv.) now,(副) 今,A1,adv,I am eating lunch now.
(adv.) often,(副) よく・しばしば,A1,adv,He often reads books after school.
(adv.) only,(副) 〜だけ,A1,adv,I only have one pen.
(adv.) outside,(副) 外に,A1,adv,The children played outside.
(adv.) really,(副) 本当に,A1,adv,This food is really good.
(adv.) sometimes,(副) 時々,A1,adv,She sometimes walks to school.
(adv.) soon,(副) もうすぐ・まもなく,A1,adv,Dinner will be ready soon.
(adv.) still,(副) まだ,A1,adv,She is still studying.
(adv.) there,(副) そこに,A1,adv,Put it there please.
(adv.) together,(副) 一緒に,A1,adv,We sing together in the choir.
(adv.) too,(副) 〜も・あまりに,A1,adv,I like soccer too.
(adv.) very,(副) とても,A1,adv,This cake is very sweet.
(phr.) at last,(句) ついに,A1,phrase,At last we finished the project.
(phr.) of course,(句) もちろん,A1,phrase,Of course I will help you.
(phr.) a lot of,(句) たくさんの,A1,phrase,She has a lot of books.
(phr.) how many,(句) いくつ,A1,phrase,How many apples do you have?
(phr.) how much,(句) いくら・どのくらい,A1,phrase,How much is this shirt?
(n.) accident,(名) 事故,A2,noun,There was an accident on the road.
(n.) advice,(名) アドバイス,A2,noun,She gave me good advice.
(n.) air,(名) 空気,A2,noun,Fresh air is good for your health.
(n.) airport,(名) 空港,A2,noun,We arrived at the airport early.
(n.) apartment,(名) アパート,A2,noun,She lives in a small apartment.
(n.) area,(名) 地域,A2,noun,This area is very quiet.
(n.) attention,(名) 注意,A2,noun,Pay attention in class.
(n.) bank,(名) 銀行,A2,noun,He went to the bank to save money.
(n.) beach,(名) ビーチ,A2,noun,We spent the day at the beach.
(n.) bridge,(名) 橋,A2,noun,The bridge over the river is old.
(n.) building,(名) 建物,A2,noun,That building is very tall.
(n.) capital,(名) 首都,A2,noun,Tokyo is the capital of Japan.
(n.) climate,(名) 気候,A2,noun,Japan has four seasons and a mild climate.
(n.) cloud,(名) 雲,A2,noun,Dark clouds appeared in the sky.
(n.) culture,(名) 文化,A2,noun,Japanese culture is very interesting.
(n.) customer,(名) 客,A2,noun,The customer asked for help.
(n.) danger,(名) 危険,A2,noun,There is danger on that road.
(n.) date,(名) 日付,A2,noun,What is the date today?
(n.) direction,(名) 方向,A2,noun,Can you give me directions to the station?
(n.) distance,(名) 距離,A2,noun,The distance between the two cities is long.
(n.) earth,(名) 地球,A2,noun,The earth moves around the sun.
(n.) entrance,(名) 入口,A2,noun,The entrance to the school is wide.
(n.) event,(名) 行事・イベント,A2,noun,The sports event was exciting.
(n.) example,(名) 例,A2,noun,Can you give me an example?
(n.) exercise,(名) 運動,A2,noun,Daily exercise keeps you healthy.
(n.) fact,(名) 事実,A2,noun,That is an interesting fact.
(n.) festival,(名) 祭り,A2,noun,We enjoyed the summer festival.
(n.) forest,(名) 森,A2,noun,Many animals live in the forest.
(n.) future,(名) 未来,A2,noun,She wants to be a doctor in the future.
(n.) health,(名) 健康,A2,noun,Good health is very important.
(n.) history,(名) 歴史,A2,noun,History is my favorite subject.
(n.) idea,(名) アイデア,A2,noun,She had a great idea.
(n.) island,(名) 島,A2,noun,Japan is an island country.
(n.) lake,(名) 湖,A2,noun,The lake is beautiful in autumn.
(n.) language,(名) 言語,A2,noun,English is a global language.
(n.) law,(名) 法律,A2,noun,Everyone must follow the law.
(n.) leader,(名) リーダー,A2,noun,She is a great leader.
(n.) level,(名) レベル,A2,noun,Your English level is high.
(n.) list,(名) リスト,A2,noun,She made a shopping list.
(n.) memory,(名) 記憶,A2,noun,He has a good memory.
(n.) minute,(名) 分,A2,noun,Wait a few minutes please.
(n.) mistake,(名) 間違い,A2,noun,Everyone makes mistakes.
(n.) museum,(名) 博物館,A2,noun,We visited the science museum.
(n.) news,(名) ニュース,A2,noun,She watches the news every evening.
(n.) office,(名) 事務所,A2,noun,He works in a busy office.
(n.) opinion,(名) 意見,A2,noun,What is your opinion on this?
(n.) pair,(名) 一対,A2,noun,I need a new pair of shoes.
(n.) part,(名) 部分,A2,noun,Which part of the book do you like?
(n.) passport,(名) パスポート,A2,noun,Don't forget your passport.
(n.) planet,(名) 惑星,A2,noun,Earth is the third planet from the sun.
(n.) population,(名) 人口,A2,noun,The population of Japan is about 125 million.
(n.) price,(名) 値段,A2,noun,The price of this shirt is low.
(n.) program,(名) プログラム,A2,noun,She joined the school program.
(n.) project,(名) プロジェクト,A2,noun,Our class project was successful.
(n.) reason,(名) 理由,A2,noun,What is the reason for your absence?
(n.) result,(名) 結果,A2,noun,The result of the exam was good.
(n.) rule,(名) ルール,A2,noun,Follow the rules of the game.
(n.) science,(名) 科学,A2,noun,Science is fun to study.
(n.) season,(名) 季節,A2,noun,Spring is my favorite season.
(n.) sentence,(名) 文,A2,noun,Write three sentences about yourself.
(n.) service,(名) サービス,A2,noun,The service at the restaurant was great.
(n.) side,(名) 側・面,A2,noun,Stand on the left side of the road.
(n.) sign,(名) 標識・サイン,A2,noun,Read the sign carefully.
(n.) situation,(名) 状況,A2,noun,The situation is getting better.
(n.) size,(名) サイズ,A2,noun,What size do you wear?
(n.) society,(名) 社会,A2,noun,We all live in society together.
(n.) sound,(名) 音,A2,noun,I heard a strange sound outside.
(n.) space,(名) 宇宙・空間,A2,noun,Astronauts travel to space.
(n.) subject,(名) 教科,A2,noun,English is my favorite subject.
(n.) success,(名) 成功,A2,noun,Hard work leads to success.
(n.) temperature,(名) 気温,A2,noun,The temperature dropped last night.
(n.) ticket,(名) チケット,A2,noun,She bought two concert tickets.
(n.) trip,(名) 旅行,A2,noun,We went on a school trip.
(n.) type,(名) 種類,A2,noun,What type of music do you like?
(n.) village,(名) 村,A2,noun,She grew up in a small village.
(n.) way,(名) 方法・道,A2,noun,Is there another way to solve this?
(n.) weather,(名) 天気,A2,noun,The weather is nice today.
(n.) website,(名) ウェブサイト,A2,noun,Check the school website for updates.
(n.) weight,(名) 重さ,A2,noun,What is the weight of this box?
(n.) wind,(名) 風,A2,noun,A cold wind was blowing.
(v.) agree,(動) 同意する,A2,verb,I agree with your idea.
(v.) allow,(動) 許可する,A2,verb,The teacher allowed us to use dictionaries.
(v.) appear,(動) 現れる,A2,verb,A rainbow appeared after the rain.
(v.) believe,(動) 信じる,A2,verb,I believe you can do it.
(v.) build,(動) 建てる,A2,verb,They built a new school last year.
(v.) carry,(動) 運ぶ,A2,verb,Can you carry this box for me?
(v.) catch,(動) 捕まえる,A2,verb,He caught the ball easily.
(v.) check,(動) 確認する,A2,verb,Please check your answers.
(v.) collect,(動) 集める,A2,verb,She collects stamps as a hobby.
(v.) complete,(動) 完成させる,A2,verb,Please complete the task by Friday.
(v.) continue,(動) 続ける,A2,verb,Please continue reading.
(v.) count,(動) 数える,A2,verb,Can you count to one hundred?
(v.) cover,(動) 覆う,A2,verb,Snow covered the ground.
(v.) create,(動) 作る,A2,verb,She created a beautiful painting.
(v.) cross,(動) 渡る,A2,verb,Look both ways before you cross the street.
(v.) describe,(動) 描写する,A2,verb,Can you describe your house?
(v.) design,(動) デザインする,A2,verb,She designed a new logo.
(v.) enter,(動) 入る,A2,verb,Please enter the classroom quietly.
(v.) explain,(動) 説明する,A2,verb,The teacher explained the rule clearly.
(v.) fail,(動) 失敗する,A2,verb,He failed the first test but passed the second.
(v.) feel,(動) 感じる,A2,verb,I feel tired after the long walk.
(v.) fight,(動) 戦う,A2,verb,Don't fight with your classmates.
(v.) finish,(動) 終わる,A2,verb,She finished her homework early.
(v.) fix,(動) 修理する,A2,verb,My father fixed the bicycle.
(v.) grow,(動) 育つ,A2,verb,Plants grow when they get enough sunlight.
(v.) happen,(動) 起こる,A2,verb,What happened yesterday?
(v.) hold,(動) 持つ・開く,A2,verb,Hold my hand.
(v.) hope,(動) 望む,A2,verb,I hope you feel better soon.
(v.) introduce,(動) 紹介する,A2,verb,Let me introduce my friend.
(v.) lose,(動) 失う・負ける,A2,verb,She lost her wallet on the train.
(v.) mean,(動) 意味する,A2,verb,What does this word mean?
(v.) miss,(動) 恋しく思う・逃す,A2,verb,I miss my grandmother.
(v.) move,(動) 動く・引っ越す,A2,verb,We moved to a new house last month.
(v.) open,(動) 開ける,A2,verb,Open the window please.
(v.) pass,(動) 渡す・合格する,A2,verb,She passed the English test.
(v.) pay,(動) 支払う,A2,verb,He paid for dinner.
(v.) pick,(動) 選ぶ・摘む,A2,verb,Pick your favorite color.
(v.) plan,(動) 計画する,A2,verb,We planned a trip for next month.
(v.) prepare,(動) 準備する,A2,verb,She prepared dinner for her family.
(v.) receive,(動) 受け取る,A2,verb,He received a letter from his friend.
(v.) return,(動) 戻る,A2,verb,She returned the book to the library.
(v.) save,(動) 救う・節約する,A2,verb,Please save water every day.
(v.) send,(動) 送る,A2,verb,She sent an email to her teacher.
(v.) smell,(動) においがする,A2,verb,The flowers smell wonderful.
(v.) spend,(動) 過ごす・使う,A2,verb,She spends weekends with her family.
(v.) study,(動) 勉強する,A2,verb,He studies English every day.
(v.) support,(動) 支援する,A2,verb,Friends support each other.
(v.) try,(動) 試みる,A2,verb,Try your best every day.
(v.) turn,(動) 回る・曲がる,A2,verb,Turn right at the corner.
(v.) win,(動) 勝つ,A2,verb,Our team won the game.
(adj.) afraid,(形) 怖い,A2,adj,She is afraid of heights.
(adj.) angry,(形) 怒った,A2,adj,He was angry about the result.
(adj.) careful,(形) 注意深い,A2,adj,Be careful crossing the street.
(adj.) correct,(形) 正しい,A2,adj,That answer is correct.
(adj.) dangerous,(形) 危険な,A2,adj,Swimming alone is dangerous.
(adj.) different,(形) 異なる,A2,adj,Our opinions are different.
(adj.) difficult,(形) 難しい,A2,adj,The math test was difficult.
(adj.) excited,(形) 興奮した,A2,adj,She was excited about the trip.
(adj.) famous,(形) 有名な,A2,adj,Mount Fuji is famous in Japan.
(adj.) foreign,(形) 外国の,A2,adj,He enjoys foreign food.
(adj.) funny,(形) おかしい・楽しい,A2,adj,He told a funny story.
(adj.) healthy,(形) 健康的な,A2,adj,Eating vegetables keeps you healthy.
(adj.) interesting,(形) 興味深い,A2,adj,The book was very interesting.
(adj.) lonely,(形) 孤独な,A2,adj,She felt lonely without her friends.
(adj.) modern,(形) 現代の,A2,adj,This is a modern city.
(adj.) necessary,(形) 必要な,A2,adj,Sleep is necessary for good health.
(adj.) nervous,(形) 緊張した,A2,adj,He was nervous before the speech.
(adj.) popular,(形) 人気のある,A2,adj,Baseball is popular in Japan.
(adj.) possible,(形) 可能な,A2,adj,Anything is possible.
(adj.) proud,(形) 誇りに思う,A2,adj,She is proud of her work.
(adj.) safe,(形) 安全な,A2,adj,This road is safe for cyclists.
(adj.) serious,(形) 真剣な,A2,adj,Be serious when you study.
(adj.) similar,(形) 似た,A2,adj,These two words have similar meanings.
(adj.) surprised,(形) 驚いた,A2,adj,She was surprised by the gift.
(adj.) useful,(形) 役に立つ,A2,adj,This dictionary is very useful.
(adj.) wonderful,(形) すばらしい,A2,adj,The view from the top was wonderful.
(adv.) already,(副) すでに,A2,adv,She has already finished her homework.
(adv.) almost,(副) ほとんど,A2,adv,He almost missed the bus.
(adv.) anywhere,(副) どこでも,A2,adv,You can sit anywhere you like.
(adv.) carefully,(副) 注意深く,A2,adv,Read the instructions carefully.
(adv.) clearly,(副) はっきりと,A2,adv,Please speak more clearly.
(adv.) enough,(副) 十分に,A2,adv,Do you have enough time?
(adv.) especially,(副) 特に,A2,adv,She especially likes math.
(adv.) everywhere,(副) どこでも,A2,adv,I looked everywhere for my key.
(adv.) finally,(副) ついに,A2,adv,She finally passed the exam.
(adv.) fortunately,(副) 幸運にも,A2,adv,Fortunately nobody was hurt.
(adv.) however,(副) しかしながら,A2,adv,It was raining; however we went out.
(adv.) lately,(副) 最近,A2,adv,She has been studying hard lately.
(adv.) nearly,(副) ほぼ,A2,adv,It is nearly midnight.
(adv.) probably,(副) おそらく,A2,adv,He will probably come tomorrow.
(adv.) quickly,(副) 素早く,A2,adv,She answered quickly.
(adv.) quietly,(副) 静かに,A2,adv,Please walk quietly in the library.
(adv.) together,(副) 一緒に,A2,adv,They worked together on the project.
(adv.) usually,(副) ふつう,A2,adv,She usually has lunch at noon.
(phr.) at the same time,(句) 同時に,A2,phrase,She was talking and typing at the same time.
(phr.) by the way,(句) ところで,A2,phrase,By the way have you met my friend?
(phr.) give up,(句) あきらめる,A2,phrase,Don't give up on your dream.
(phr.) go on,(句) 続ける,A2,phrase,Please go on with your story.
(phr.) in fact,(句) 実際には,A2,phrase,In fact she had never been there before.
(phr.) look after,(句) 世話をする,A2,phrase,She looks after her little sister.
(phr.) look for,(句) 探す,A2,phrase,I am looking for my glasses.
(phr.) look forward to,(句) 〜を楽しみにする,A2,phrase,I look forward to the school trip.
(phr.) make sure,(句) 確認する,A2,phrase,Make sure you bring your textbook.
(phr.) on time,(句) 時間通りに,A2,phrase,The bus arrived on time.
(phr.) right now,(句) 今すぐ,A2,phrase,Please come right now.
(phr.) take care of,(句) 〜の世話をする,A2,phrase,She takes care of her younger brother.
(phr.) take part in,(句) 参加する,A2,phrase,He took part in the school play.
(prep.) between,(前) 〜の間に,A2,prep,The bank is between the library and the school.
(prep.) during,(前) 〜の間に,A2,prep,She slept during the movie.
(prep.) except,(前) 〜を除いて,A2,prep,Everyone passed except him.
(prep.) toward,(前) 〜の方へ,A2,prep,She walked toward the door.
(prep.) without,(前) 〜なしに,A2,prep,She finished the test without any help.
(conj.) because,(接) なぜなら,A2,conj,She was late because the train was delayed.
(conj.) but,(接) しかし,A2,conj,I wanted to go but I was too tired.
(conj.) if,(接) もし〜ならば,A2,conj,If it rains we will stay inside.
(conj.) so,(接) だから,A2,conj,It was cold so she wore a coat.
(conj.) while,(接) 〜の間,A2,conj,She listened to music while she cooked.
(n.) advantage,(名) 利点,B1,noun,What is the advantage of this plan?
(n.) affect,(名) 影響,B1,noun,Stress can have a bad affect on health.
(n.) agency,(名) 機関・代理店,B1,noun,She works at a travel agency.
(n.) agreement,(名) 合意,B1,noun,They reached an agreement quickly.
(n.) amount,(名) 量・総額,B1,noun,A large amount of rain fell last week.
(n.) analysis,(名) 分析,B1,noun,His analysis of the data was correct.
(n.) attitude,(名) 態度・姿勢,B1,noun,A positive attitude helps you succeed.
(n.) author,(名) 著者,B1,noun,Who is the author of this book?
(n.) average,(名) 平均,B1,noun,The average temperature in July is high.
(n.) career,(名) キャリア・職業,B1,noun,She wants a career in medicine.
(n.) cause,(名) 原因,B1,noun,What is the cause of the problem?
(n.) citizen,(名) 市民,B1,noun,Every citizen has rights and responsibilities.
(n.) communication,(名) コミュニケーション,B1,noun,Good communication is important in teamwork.
(n.) community,(名) 地域社会,B1,noun,She is active in her local community.
(n.) competition,(名) 競争・試合,B1,noun,She won first place in the competition.
(n.) condition,(名) 状態,B1,noun,The patient is in stable condition.
(n.) connection,(名) つながり,B1,noun,There is a close connection between diet and health.
(n.) context,(名) 文脈,B1,noun,Read the sentence in context.
(n.) conversation,(名) 会話,B1,noun,They had a long conversation about school.
(n.) criticism,(名) 批判,B1,noun,She accepted the criticism and improved her work.
(n.) data,(名) データ,B1,noun,The data shows an increase in students.
(n.) debate,(名) 討論,B1,noun,The class had a debate about the environment.
(n.) decision,(名) 決断,B1,noun,Making a decision is sometimes difficult.
(n.) definition,(名) 定義,B1,noun,Look up the definition in the dictionary.
(n.) demand,(名) 需要,B1,noun,There is high demand for English teachers.
(n.) discussion,(名) 議論,B1,noun,We had a class discussion about climate.
(n.) diversity,(名) 多様性,B1,noun,Diversity makes a society stronger.
(n.) education,(名) 教育,B1,noun,Education opens many doors.
(n.) emotion,(名) 感情,B1,noun,She expressed her emotions through music.
(n.) energy,(名) エネルギー,B1,noun,Solar energy is clean and renewable.
(n.) exchange,(名) 交換,B1,noun,She joined a student exchange program.
(n.) expression,(名) 表現,B1,noun,Use a variety of expressions in your writing.
(n.) feature,(名) 特徴,B1,noun,A key feature of this app is its simplicity.
(n.) freedom,(名) 自由,B1,noun,Freedom of speech is a basic right.
(n.) goal,(名) 目標,B1,noun,Her goal is to study abroad.
(n.) habit,(名) 習慣,B1,noun,Reading every day is a great habit.
(n.) image,(名) 画像・イメージ,B1,noun,The image on the poster is very clear.
(n.) impact,(名) 影響,B1,noun,The rain had a big impact on the harvest.
(n.) individual,(名) 個人,B1,noun,Each individual has different needs.
(n.) influence,(名) 影響,B1,noun,Parents have a strong influence on children.
(n.) information,(名) 情報,B1,noun,We need more information before deciding.
(n.) institution,(名) 機関,B1,noun,The hospital is an important institution.
(n.) intelligence,(名) 知性・知能,B1,noun,She showed great intelligence in the exam.
(n.) method,(名) 方法,B1,noun,He used a new method to solve the problem.
(n.) media,(名) メディア,B1,noun,Social media connects people worldwide.
(n.) network,(名) ネットワーク,B1,noun,He has a strong professional network.
(n.) organization,(名) 組織,B1,noun,She joined a volunteer organization.
(n.) participant,(名) 参加者,B1,noun,Each participant received a certificate.
